,Id,LotFrontage,LotArea,MasVnrArea,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,SalePrice,GarageType_1,GarageType_2,GarageType_3,GarageType_4,GarageType_5
0,1,65.0,8450,196.0,856,854,1710,548,208500,1,0,0,0,0
1,2,80.0,9600,0.0,1262,0,1262,460,181500,1,0,0,0,0
2,3,68.0,11250,162.0,920,866,1786,608,223500,1,0,0,0,0
3,4,60.0,9550,0.0,961,756,1717,642,140000,0,0,0,0,1
4,5,84.0,14260,350.0,1145,1053,2198,836,250000,1,0,0,0,0
5,6,85.0,14115,0.0,796,566,1362,480,143000,1,0,0,0,0
6,7,75.0,10084,186.0,1694,0,1694,636,307000,1,0,0,0,0
8,9,51.0,6120,0.0,1022,752,1774,468,129900,0,0,0,0,1
9,10,50.0,7420,0.0,1077,0,1077,205,118000,1,0,0,0,0
10,11,70.0,11200,0.0,1040,0,1040,384,129500,0,0,0,0,1
11,12,85.0,11924,286.0,1182,1142,2324,736,345000,0,0,1,0,0
13,14,91.0,10652,306.0,1494,0,1494,840,279500,1,0,0,0,0
15,16,51.0,6120,0.0,854,0,854,576,132000,0,0,0,0,1
17,18,72.0,10791,0.0,1296,0,1296,516,90000,0,0,0,1,0
18,19,66.0,13695,0.0,1114,0,1114,576,159000,0,0,0,0,1
19,20,70.0,7560,0.0,1339,0,1339,294,139000,1,0,0,0,0
20,21,101.0,14215,380.0,1158,1218,2376,853,325300,0,0,1,0,0
21,22,57.0,7449,0.0,1108,0,1108,280,139400,1,0,0,0,0
22,23,75.0,9742,281.0,1795,0,1795,534,230000,1,0,0,0,0
23,24,44.0,4224,0.0,1060,0,1060,572,129900,1,0,0,0,0
26,27,60.0,7200,0.0,900,0,900,576,134800,0,0,0,0,1
27,28,98.0,11478,200.0,1704,0,1704,772,306000,1,0,0,0,0
28,29,47.0,16321,0.0,1600,0,1600,319,207500,1,0,0,0,0
29,30,60.0,6324,0.0,520,0,520,240,68500,0,0,0,0,1
30,31,50.0,8500,0.0,649,668,1317,250,40000,0,0,0,0,1
32,33,85.0,11049,0.0,1234,0,1234,484,179900,1,0,0,0,0
33,34,70.0,10552,0.0,1700,0,1700,447,165500,1,0,0,0,0
34,35,60.0,7313,246.0,1561,0,1561,556,277500,1,0,0,0,0
35,36,108.0,13418,132.0,1132,1320,2452,691,309000,0,0,1,0,0
38,39,68.0,7922,0.0,1057,0,1057,246,109000,0,0,0,0,1
39,40,65.0,6040,0.0,1152,0,1152,0,82000,1,0,0,0,0
40,41,84.0,8658,101.0,1324,0,1324,440,160000,1,0,0,0,0
44,45,70.0,7945,0.0,1150,0,1150,300,141000,1,0,0,0,0
46,47,48.0,12822,0.0,1518,631,2149,670,239686,1,0,0,0,0
47,48,84.0,11096,0.0,1656,0,1656,826,249700,1,0,0,0,0
48,49,33.0,4456,0.0,736,716,1452,0,113000,1,0,0,0,0
49,50,66.0,7742,0.0,955,0,955,386,127000,1,0,0,0,0
51,52,52.0,6240,0.0,816,0,1176,528,114500,0,0,0,0,1
52,53,110.0,8472,0.0,816,0,816,516,110000,0,0,0,1,0
54,55,60.0,7134,0.0,1360,0,1360,572,130000,0,0,0,0,1
55,56,100.0,10175,272.0,1425,0,1425,576,180500,1,0,0,0,0
57,58,89.0,11645,0.0,860,860,1720,565,196500,1,0,0,0,0
59,60,60.0,7200,0.0,780,0,780,352,124900,0,0,0,0,1
60,61,63.0,13072,0.0,1158,0,1158,576,158000,0,0,0,0,1
61,62,60.0,7200,0.0,581,530,1111,288,101000,0,0,0,0,1
62,63,44.0,6442,178.0,1370,0,1370,484,202500,1,0,0,0,0
